test_instance_evrp: 1, 206786.00, 206786.00, 1.00, subproblem = 1, timelimit = 1
test_instance_evrp: 1, 176075.00, 176075.00, 10.00, subproblem = 1, timelimit = 10
test_instance_evrp: 1, 206786.00, 206786.00, 10.00, subproblem = 1, timelimit = 10
test_instance_evrp: 1, 206786.00, 206786.00, 10.00, subproblem = 1, timelimit = 10
test_instance_evrp: 1, 81885.00, 81885.00, 10.00, subproblem = 1, timelimit = 10
test_instance_evrp: 2, 187955.00, 187955.00, 10.00, subproblem = 1, timelimit = 10
test_instance_evrp: 2, 246239.00, 246239.00, 10.00, subproblem = 1, timelimit = 10
test_instance_evrp: 2, 188405.00, 188405.00, 10.00, subproblem = 1, timelimit = 10
test_instance_evrp: 2, 186772.00, 186772.00, 10.00, subproblem = 1, timelimit = 10
test_instance_evrp: 1, 81885.00, 81885.00, 10.00, subproblem = 1, timelimit = 10
test_instance_evrp: 2, 187955.00, 187955.00, 10.00, subproblem = 1, timelimit = 10
test_instance_evrp: 2, 246239.00, 246239.00, 10.00, subproblem = 1, timelimit = 10
test_instance_evrp: 2, 188405.00, 188405.00, 10.00, subproblem = 1, timelimit = 10
test_instance_evrp: 2, 186772.00, 186772.00, 10.00, subproblem = 1, timelimit = 10
test_instance_evrp: 4, 487787.00, 496752.40, 10.00, subproblem = 1, timelimit = 10
test_instance_evrp: 4, 455131.00, 456302.20, 10.00, subproblem = 1, timelimit = 10
test_instance_evrp: 4, 469765.00, 475766.20, 10.00, subproblem = 1, timelimit = 10
test_instance_evrp: 4, 474492.00, 483330.20, 10.00, subproblem = 1, timelimit = 10
test_instance_evrp: 4, 515413.00, 528303.00, 10.00, subproblem = 1, timelimit = 10
test_instance_evrp: 1, 81885.00, 81885.00, 10.00, subproblem = 1, timelimit = 10
test_instance_evrp: 1, 81885.00, 81885.00, 10.00, subproblem = 1, timelimit = 10
test_instance_evrp: 1, 81885.00, 81885.00, 10.00, subproblem = 1, timelimit = 10
test_instance_evrp: 1, 81885.00, 81885.00, 10.00, subproblem = 1, timelimit = 10
test_instance_evrp: 2, 226574.00, 226574.00, 10.00, subproblem = 1, timelimit = 10
test_instance_evrp: 2, 236800.00, 236800.00, 10.00, subproblem = 1, timelimit = 10
test_instance_evrp: 2, 236800.00, 236800.00, 10.00, subproblem = 1, timelimit = 10
test_instance_evrp: 2, 236800.00, 236800.00, 10.00, subproblem = 1, timelimit = 10
test_instance_evrp: 2, 236800.00, 236800.00, 10.00, subproblem = 1, timelimit = 10
test_instance_evrp: 2, 236800.00, 236800.00, 10.00, subproblem = 1, timelimit = 10
test_instance_evrp: 2, 236800.00, 236800.00, 10.00, subproblem = 1, timelimit = 10
test_instance_evrp: 2, 236800.00, 236800.00, 10.00, subproblem = 1, timelimit = 10
test_instance_evrp: 2, 236800.00, 236800.00, 10.00, subproblem = 1, timelimit = 10
test_instance_evrp: 2, 236800.00, 236800.00, 10.00, subproblem = 1, timelimit = 10
test_instance_evrp: 2, 236800.00, 236800.00, 10.00, subproblem = 1, timelimit = 10
test_instance_evrp: 2, 236800.00, 236800.00, 10.00, subproblem = 1, timelimit = 10
test_instance_evrp: 2, 236800.00, 236800.00, 10.00, subproblem = 1, timelimit = 10
test_instance_evrp: 2, 236800.00, 236800.00, 10.00, subproblem = 1, timelimit = 10
test_instance_evrp: 3, 303554.00, 303554.00, 10.00, subproblem = 1, timelimit = 10
test_instance_evrp: 2, 272526.00, 272526.00, 10.00, subproblem = 1, timelimit = 10
test_instance_evrp: 2, 247840.00, 247840.00, 10.00, subproblem = 1, timelimit = 10
test_instance_evrp: 3, 336223.00, 336223.00, 10.00, subproblem = 1, timelimit = 10
test_instance_evrp: 3, 297950.00, 297950.00, 10.00, subproblem = 1, timelimit = 10
test_instance_evrp: 3, 316509.00, 316509.00, 10.00, subproblem = 1, timelimit = 10
test_instance_evrp: 2, 343689.00, 343689.00, 10.00, subproblem = 1, timelimit = 10
test_instance_evrp: 4, 391492.00, 406737.80, 10.00, subproblem = 1, timelimit = 10
test_instance_evrp: 3, 384830.00, 384830.00, 10.00, subproblem = 1, timelimit = 10
test_instance_evrp: 2, 275990.00, 275990.00, 10.00, subproblem = 1, timelimit = 10
test_instance_evrp: 2, 259824.00, 259824.00, 10.00, subproblem = 1, timelimit = 10
test_instance_evrp: 2, 227187.00, 227187.00, 10.00, subproblem = 1, timelimit = 10
test_instance_evrp: 2, 243799.00, 243799.00, 10.00, subproblem = 1, timelimit = 10
test_instance_evrp: 3, 361702.00, 362379.60, 10.00, subproblem = 1, timelimit = 10
test_instance_evrp: 3, 321117.00, 321117.00, 10.00, subproblem = 1, timelimit = 10
test_instance_evrp: 3, 328623.00, 329588.60, 10.00, subproblem = 1, timelimit = 10
test_instance_evrp: 2, 272526.00, 272526.00, 10.00, subproblem = 1, timelimit = 10
test_instance_evrp: 2, 247840.00, 247840.00, 10.00, subproblem = 1, timelimit = 10
test_instance_evrp: 3, 336223.00, 336223.00, 10.00, subproblem = 1, timelimit = 10
test_instance_evrp: 3, 297950.00, 297950.00, 10.00, subproblem = 1, timelimit = 10
test_instance_evrp: 3, 316509.00, 316509.00, 10.00, subproblem = 1, timelimit = 10
test_instance_evrp: 2, 272526.00, 272526.00, 10.00, subproblem = 1, timelimit = 10
test_instance_evrp: 2, 247840.00, 247840.00, 10.00, subproblem = 1, timelimit = 10
test_instance_evrp: 3, 336223.00, 336223.00, 10.00, subproblem = 1, timelimit = 10
test_instance_evrp: 3, 297950.00, 297950.00, 10.00, subproblem = 1, timelimit = 10
test_instance_evrp: 3, 316509.00, 316509.00, 10.00, subproblem = 1, timelimit = 10
test_instance_evrp: 2, 272526.00, 272526.00, 10.00, subproblem = 1, timelimit = 10
test_instance_evrp: 2, 247840.00, 247840.00, 10.00, subproblem = 1, timelimit = 10
test_instance_evrp: 3, 336223.00, 336223.00, 10.00, subproblem = 1, timelimit = 10
test_instance_evrp: 3, 297950.00, 297950.00, 10.00, subproblem = 1, timelimit = 10
test_instance_evrp: 3, 316509.00, 316509.00, 10.00, subproblem = 1, timelimit = 10
test_instance_evrp: 3, 303554.00, 303554.00, 10.00, subproblem = 1, timelimit = 10
test_instance_evrp: 3, 320884.00, 330687.20, 10.00, subproblem = 1, timelimit = 10
test_instance_evrp: 3, 379284.00, 379284.00, 10.00, subproblem = 1, timelimit = 10
test_instance_evrp: 2, 303595.00, 304507.60, 10.00, subproblem = 1, timelimit = 10
test_instance_evrp: 3, 330396.00, 336612.00, 10.00, subproblem = 1, timelimit = 10
test_instance_evrp: 3, 303554.00, 303554.00, 10.00, subproblem = 1, timelimit = 10
test_instance_evrp: 3, 320884.00, 330687.20, 10.00, subproblem = 1, timelimit = 10
test_instance_evrp: 3, 379284.00, 379284.00, 10.00, subproblem = 1, timelimit = 10
test_instance_evrp: 2, 303595.00, 304507.60, 10.00, subproblem = 1, timelimit = 10
test_instance_evrp: 3, 330396.00, 336612.00, 10.00, subproblem = 1, timelimit = 10
test_instance_evrp: 1, 81885.00, 81885.00, 10.00, subproblem = 1, timelimit = 10
test_instance_evrp: 2, 187955.00, 187955.00, 10.00, subproblem = 1, timelimit = 10
test_instance_evrp: 2, 246239.00, 246239.00, 10.00, subproblem = 1, timelimit = 10
test_instance_evrp: 2, 188405.00, 188405.00, 10.00, subproblem = 1, timelimit = 10
test_instance_evrp: 4, 502448.00, 502448.00, 10.00, subproblem = 1, timelimit = 10
test_instance_evrp: 4, 456595.00, 456595.00, 10.00, subproblem = 1, timelimit = 10
test_instance_evrp: 4, 482869.00, 482869.00, 10.00, subproblem = 1, timelimit = 10
test_instance_evrp: 4, 474492.00, 474492.00, 10.00, subproblem = 1, timelimit = 10
test_instance_evrp: 4, 539700.00, 539700.00, 10.00, subproblem = 1, timelimit = 10
test_instance_evrp: 4, 446875.00, 446875.00, 10.00, subproblem = 1, timelimit = 10
test_instance_evrp: 3, 418998.00, 418998.00, 10.00, subproblem = 1, timelimit = 10
test_instance_evrp: 4, 501291.00, 501291.00, 10.00, subproblem = 1, timelimit = 10
test_instance_evrp: 4, 547341.00, 547341.00, 10.00, subproblem = 1, timelimit = 10
test_instance_evrp: 4, 520671.00, 520671.00, 10.00, subproblem = 1, timelimit = 10
test_instance_evrp: 1, 81885.00, 81885.00, 10.00, subproblem = 1, timelimit = 10
test_instance_evrp: 2, 187955.00, 187955.00, 10.00, subproblem = 1, timelimit = 10
test_instance_evrp: 2, 246239.00, 246239.00, 10.00, subproblem = 1, timelimit = 10
test_instance_evrp: 2, 188405.00, 188405.00, 10.00, subproblem = 1, timelimit = 10
test_instance_evrp: 2, 186772.00, 186772.00, 10.00, subproblem = 1, timelimit = 10
test_instance_evrp: 3, 286412.00, 286412.00, 10.00, subproblem = 1, timelimit = 10
test_instance_evrp: 2, 262624.00, 262624.00, 10.00, subproblem = 1, timelimit = 10
test_instance_evrp: 2, 308772.00, 322705.60, 10.00, subproblem = 1, timelimit = 10
test_instance_evrp: 3, 362556.00, 362556.00, 10.00, subproblem = 1, timelimit = 10
test_instance_evrp: 3, 368221.00, 368221.00, 10.00, subproblem = 1, timelimit = 10
test_instance_evrp: 3, 286412.00, 286412.00, 10.00, subproblem = 1, timelimit = 10
test_instance_evrp: 2, 262624.00, 262624.00, 10.00, subproblem = 1, timelimit = 10
test_instance_evrp: 2, 308772.00, 322705.60, 10.00, subproblem = 1, timelimit = 10
test_instance_evrp: 3, 362556.00, 362556.00, 10.00, subproblem = 1, timelimit = 10
test_instance_evrp: 3, 368221.00, 368221.00, 10.00, subproblem = 1, timelimit = 10
test_instance_evrp: 3, 362129.00, 372562.20, 10.00, subproblem = 1, timelimit = 10
test_instance_evrp: 3, 354314.00, 367620.40, 10.00, subproblem = 1, timelimit = 10
test_instance_evrp: 2, 279183.00, 279183.00, 10.00, subproblem = 1, timelimit = 10
test_instance_evrp: 2, 341816.00, 341816.00, 10.00, subproblem = 1, timelimit = 10
test_instance_evrp: 3, 321837.00, 321837.00, 10.00, subproblem = 1, timelimit = 10
test_instance_evrp: 3, 350070.00, 350070.00, 10.00, subproblem = 1, timelimit = 10
test_instance_evrp: 3, 315892.00, 318142.60, 10.00, subproblem = 1, timelimit = 10
test_instance_evrp: 3, 288124.00, 288124.00, 10.00, subproblem = 1, timelimit = 10
test_instance_evrp: 4, 427308.00, 427308.00, 10.00, subproblem = 1, timelimit = 10
test_instance_evrp: 2, 324428.00, 324428.00, 10.00, subproblem = 1, timelimit = 10
test_instance_evrp: 3, 286412.00, 286412.00, 10.00, subproblem = 1, timelimit = 10
test_instance_evrp: 2, 262624.00, 262624.00, 10.00, subproblem = 1, timelimit = 10
test_instance_evrp: 2, 308772.00, 322705.60, 10.00, subproblem = 1, timelimit = 10
test_instance_evrp: 3, 362556.00, 362556.00, 10.00, subproblem = 1, timelimit = 10
test_instance_evrp: 3, 368221.00, 368221.00, 10.00, subproblem = 1, timelimit = 10
test_instance_evrp: 3, 362129.00, 372562.20, 10.00, subproblem = 1, timelimit = 10
test_instance_evrp: 3, 354314.00, 367620.40, 10.00, subproblem = 1, timelimit = 10
test_instance_evrp: 2, 279183.00, 279183.00, 10.00, subproblem = 1, timelimit = 10
test_instance_evrp: 2, 341816.00, 341816.00, 10.00, subproblem = 1, timelimit = 10
test_instance_evrp: 3, 321837.00, 321837.00, 10.00, subproblem = 1, timelimit = 10
test_instance_evrp: 3, 350070.00, 350070.00, 10.00, subproblem = 1, timelimit = 10
test_instance_evrp: 3, 315892.00, 318142.60, 10.00, subproblem = 1, timelimit = 10
test_instance_evrp: 3, 288124.00, 288124.00, 10.00, subproblem = 1, timelimit = 10
test_instance_evrp: 4, 427308.00, 427308.00, 10.00, subproblem = 1, timelimit = 10
test_instance_evrp: 2, 324428.00, 324428.00, 10.00, subproblem = 1, timelimit = 10
test_instance_evrp: 3, 286412.00, 286412.00, 10.00, subproblem = 1, timelimit = 10
test_instance_evrp: 2, 262624.00, 262624.00, 10.00, subproblem = 1, timelimit = 10
test_instance_evrp: 2, 308772.00, 322705.60, 10.00, subproblem = 1, timelimit = 10
test_instance_evrp: 3, 362556.00, 362556.00, 10.00, subproblem = 1, timelimit = 10
test_instance_evrp: 3, 368221.00, 368221.00, 10.00, subproblem = 1, timelimit = 10
test_instance_evrp: 3, 362129.00, 372562.20, 10.00, subproblem = 1, timelimit = 10
test_instance_evrp: 3, 354314.00, 367620.40, 10.00, subproblem = 1, timelimit = 10
test_instance_evrp: 2, 279183.00, 279183.00, 10.00, subproblem = 1, timelimit = 10
test_instance_evrp: 2, 341816.00, 341816.00, 10.00, subproblem = 1, timelimit = 10
test_instance_evrp: 3, 321837.00, 321837.00, 10.00, subproblem = 1, timelimit = 10
test_instance_evrp: 3, 350070.00, 350070.00, 10.00, subproblem = 1, timelimit = 10
test_instance_evrp: 3, 315892.00, 318142.60, 10.00, subproblem = 1, timelimit = 10
test_instance_evrp: 3, 288124.00, 288124.00, 10.00, subproblem = 1, timelimit = 10
test_instance_evrp: 4, 427308.00, 427308.00, 10.00, subproblem = 1, timelimit = 10
test_instance_evrp: 2, 324428.00, 324428.00, 10.00, subproblem = 1, timelimit = 10
test_instance_evrp: 4, 434659.00, 436478.20, 10.00, subproblem = 1, timelimit = 10
test_instance_evrp: 3, 472799.00, 481509.20, 10.00, subproblem = 1, timelimit = 10
test_instance_evrp: 4, 459943.00, 475116.40, 10.00, subproblem = 1, timelimit = 10
test_instance_evrp: 4, 470049.00, 471344.20, 10.00, subproblem = 1, timelimit = 10
test_instance_evrp: 4, 513725.00, 517229.80, 10.00, subproblem = 1, timelimit = 10
test_instance_evrp: 4, 539108.00, 554318.40, 10.00, subproblem = 1, timelimit = 10
test_instance_evrp: 4, 505114.00, 509991.60, 10.00, subproblem = 1, timelimit = 10
test_instance_evrp: 4, 481077.00, 486827.20, 10.00, subproblem = 1, timelimit = 10
test_instance_evrp: 4, 510910.00, 512922.80, 10.00, subproblem = 1, timelimit = 10
test_instance_evrp: 4, 434659.00, 436478.20, 10.00, subproblem = 1, timelimit = 10
test_instance_evrp: 3, 472799.00, 481509.20, 10.00, subproblem = 1, timelimit = 10
test_instance_evrp: 4, 459943.00, 475116.40, 10.00, subproblem = 1, timelimit = 10
test_instance_evrp: 4, 470049.00, 471344.20, 10.00, subproblem = 1, timelimit = 10
test_instance_evrp: 4, 513725.00, 517229.80, 10.00, subproblem = 1, timelimit = 10
test_instance_evrp: 4, 539108.00, 554318.40, 10.00, subproblem = 1, timelimit = 10
test_instance_evrp: 4, 505114.00, 509991.60, 10.00, subproblem = 1, timelimit = 10
test_instance_evrp: 4, 434659.00, 436478.20, 10.00, subproblem = 1, timelimit = 10
test_instance_evrp: 3, 472799.00, 481509.20, 10.00, subproblem = 1, timelimit = 10
test_instance_evrp: 4, 434659.00, 436478.20, 10.00, subproblem = 1, timelimit = 10
test_instance_evrp: 3, 472799.00, 481509.20, 10.00, subproblem = 1, timelimit = 10
test_instance_evrp: 4, 459943.00, 475116.40, 10.00, subproblem = 1, timelimit = 10
test_instance_evrp: 4, 470049.00, 471344.20, 10.00, subproblem = 1, timelimit = 10
test_instance_evrp: 4, 513725.00, 517229.80, 10.00, subproblem = 1, timelimit = 10
test_instance_evrp: 4, 539108.00, 554318.40, 10.00, subproblem = 1, timelimit = 10
test_instance_evrp: 4, 505114.00, 509991.60, 10.00, subproblem = 1, timelimit = 10
test_instance_evrp: 4, 481077.00, 486827.20, 10.00, subproblem = 1, timelimit = 10
test_instance_evrp: 4, 510910.00, 512922.80, 10.00, subproblem = 1, timelimit = 10
test_instance_evrp: 4, 434659.00, 436478.20, 10.00, subproblem = 1, timelimit = 10
test_instance_evrp: 3, 472799.00, 481509.20, 10.00, subproblem = 1, timelimit = 10
test_instance_evrp: 4, 459943.00, 475116.40, 10.00, subproblem = 1, timelimit = 10
test_instance_evrp: 4, 470049.00, 471344.20, 10.00, subproblem = 1, timelimit = 10
test_instance_evrp: 4, 513725.00, 517229.80, 10.00, subproblem = 1, timelimit = 10
test_instance_evrp: 4, 539108.00, 554318.40, 10.00, subproblem = 1, timelimit = 10
test_instance_evrp: 4, 505114.00, 509991.60, 10.00, subproblem = 1, timelimit = 10
test_instance_evrp: 4, 481077.00, 486827.20, 10.00, subproblem = 1, timelimit = 10
test_instance_evrp: 4, 510910.00, 512922.80, 10.00, subproblem = 1, timelimit = 10
test_instance_evrp: 6, 793641.00, 808799.50, 2.64, subproblem = 1, timelimit = 630
test_instance_evrp: 3, 284790.00, 284790.00, 0.05, subproblem = 1, timelimit = 630
test_instance_evrp: 2, 255550.00, 255550.00, 0.04, subproblem = 1, timelimit = 630
test_instance_evrp: 2, 266402.00, 266402.00, 0.06, subproblem = 1, timelimit = 630
test_instance_evrp: 3, 360130.00, 361833.50, 0.17, subproblem = 1, timelimit = 630
test_instance_evrp: 2, 336750.00, 336750.00, 0.31, subproblem = 1, timelimit = 630
test_instance_evrp: 3, 347904.00, 347904.00, 0.03, subproblem = 1, timelimit = 630
test_instance_evrp: 2, 264650.00, 264650.00, 0.13, subproblem = 1, timelimit = 630
test_instance_evrp: 2, 316750.00, 316750.00, 0.47, subproblem = 1, timelimit = 630
test_instance_evrp: 3, 321837.00, 321837.00, 0.03, subproblem = 1, timelimit = 630
test_instance_evrp: 3, 319429.00, 319429.00, 0.08, subproblem = 1, timelimit = 630
test_instance_evrp: 2, 309902.00, 309902.00, 0.24, subproblem = 1, timelimit = 630
test_instance_evrp: 3, 282864.00, 282864.00, 0.05, subproblem = 1, timelimit = 630
test_instance_evrp: 3, 378182.00, 378182.00, 0.06, subproblem = 1, timelimit = 630
test_instance_evrp: 2, 282520.00, 282520.00, 0.54, subproblem = 1, timelimit = 630
test_instance_evrp: 4, 430964.00, 430964.00, 0.75, subproblem = 1, timelimit = 630
test_instance_evrp: 4, 551196.00, 551196.00, 0.28, subproblem = 1, timelimit = 630
test_instance_evrp: 3, 444535.00, 444535.00, 0.83, subproblem = 1, timelimit = 630
test_instance_evrp: 4, 475811.00, 475811.00, 0.39, subproblem = 1, timelimit = 630
test_instance_evrp: 4, 460527.00, 460527.00, 0.15, subproblem = 1, timelimit = 630
test_instance_evrp: 3, 461359.00, 462346.50, 1.12, subproblem = 1, timelimit = 630
test_instance_evrp: 4, 471961.00, 474138.50, 0.12, subproblem = 1, timelimit = 630
test_instance_evrp: 4, 493625.00, 493941.00, 0.49, subproblem = 1, timelimit = 630
test_instance_evrp: 4, 552223.00, 555393.50, 0.51, subproblem = 1, timelimit = 630
test_instance_evrp: 4, 471661.00, 479229.00, 0.30, subproblem = 1, timelimit = 630
test_instance_evrp: 4, 508840.00, 508840.00, 1.12, subproblem = 1, timelimit = 630
test_instance_evrp: 3, 455037.00, 455037.00, 0.86, subproblem = 1, timelimit = 630
test_instance_evrp: 5, 583529.00, 584330.00, 0.74, subproblem = 1, timelimit = 630
test_instance_evrp: 3, 478265.00, 478265.00, 0.74, subproblem = 1, timelimit = 630
test_instance_evrp: 5, 575115.00, 575115.00, 0.96, subproblem = 1, timelimit = 630
test_instance_evrp: 5, 654948.00, 664534.00, 1.39, subproblem = 1, timelimit = 630
test_instance_evrp: 5, 586211.00, 587497.50, 0.80, subproblem = 1, timelimit = 630
test_instance_evrp: 5, 601486.00, 602562.50, 0.94, subproblem = 1, timelimit = 630
test_instance_evrp: 5, 601273.00, 601273.00, 1.84, subproblem = 1, timelimit = 630
test_instance_evrp: 5, 604797.00, 604797.00, 1.06, subproblem = 1, timelimit = 630
test_instance_evrp: 5, 540336.00, 540336.00, 0.46, subproblem = 1, timelimit = 630
test_instance_evrp: 4, 576910.00, 580067.00, 2.65, subproblem = 1, timelimit = 630
test_instance_evrp: 5, 684112.00, 684666.50, 1.26, subproblem = 1, timelimit = 630
test_instance_evrp: 5, 583115.00, 583115.00, 1.87, subproblem = 1, timelimit = 630
test_instance_evrp: 5, 629633.00, 631959.00, 1.17, subproblem = 1, timelimit = 630
test_instance_evrp: 6, 725425.00, 725425.00, 0.71, subproblem = 1, timelimit = 630
test_instance_evrp: 4, 598207.00, 598207.00, 2.21, subproblem = 1, timelimit = 630
test_instance_evrp: 5, 669424.00, 669424.00, 3.09, subproblem = 1, timelimit = 630
test_instance_evrp: 6, 691555.00, 691555.00, 2.47, subproblem = 1, timelimit = 630
test_instance_evrp: 6, 717480.00, 717823.50, 4.89, subproblem = 1, timelimit = 630
test_instance_evrp: 5, 703515.00, 703515.00, 6.00, subproblem = 1, timelimit = 630
test_instance_evrp: 6, 756026.00, 761377.00, 2.69, subproblem = 1, timelimit = 630
test_instance_evrp: 6, 711819.00, 713865.00, 2.81, subproblem = 1, timelimit = 630
test_instance_evrp: 5, 700104.00, 700104.00, 1.96, subproblem = 1, timelimit = 630
test_instance_evrp: 6, 791025.00, 800506.00, 1.90, subproblem = 1, timelimit = 630
test_instance_evrp: 7, 784608.00, 784608.00, 2.02, subproblem = 1, timelimit = 630
test_instance_evrp: 6, 796077.00, 796077.00, 2.48, subproblem = 1, timelimit = 630
test_instance_evrp: 6, 790094.00, 795437.00, 3.99, subproblem = 1, timelimit = 630
test_instance_evrp: 7, 825024.00, 826032.50, 2.31, subproblem = 1, timelimit = 630
test_instance_evrp: 6, 855081.00, 862663.50, 10.20, subproblem = 1, timelimit = 630
test_instance_evrp: 8, 818181.00, 818181.00, 4.62, subproblem = 1, timelimit = 630
test_instance_evrp: 6, 822648.00, 825307.50, 8.15, subproblem = 1, timelimit = 630
test_instance_evrp: 7, 825139.00, 841845.50, 3.67, subproblem = 1, timelimit = 630
test_instance_evrp: 7, 884731.00, 884731.00, 4.83, subproblem = 1, timelimit = 630
test_instance_evrp: 7, 864429.00, 874056.50, 3.88, subproblem = 1, timelimit = 630
test_instance_evrp: 8, 967435.00, 969040.00, 3.11, subproblem = 1, timelimit = 630
test_instance_evrp: 7, 853913.00, 857976.00, 4.01, subproblem = 1, timelimit = 630
test_instance_evrp: 7, 908960.00, 910022.00, 8.15, subproblem = 1, timelimit = 630
test_instance_evrp: 7, 909806.00, 912068.50, 4.18, subproblem = 1, timelimit = 630
test_instance_evrp: 7, 909050.00, 909845.00, 10.49, subproblem = 1, timelimit = 630
test_instance_evrp: 8, 968733.00, 971332.50, 7.15, subproblem = 1, timelimit = 630
test_instance_evrp: 7, 946050.00, 950937.00, 4.68, subproblem = 1, timelimit = 630
test_instance_evrp: 7, 962157.00, 967672.50, 7.95, subproblem = 1, timelimit = 630
test_instance_evrp: 7, 915387.00, 927789.00, 6.61, subproblem = 1, timelimit = 630
test_instance_evrp: 8, 960589.00, 960589.00, 3.39, subproblem = 1, timelimit = 630
test_instance_evrp: 8, 972044.00, 977787.00, 7.79, subproblem = 1, timelimit = 630
test_instance_evrp: 9, 1066959.00, 1067056.50, 8.25, subproblem = 1, timelimit = 630
test_instance_evrp: 8, 996602.00, 1000351.50, 23.67, subproblem = 1, timelimit = 630
test_instance_evrp: 3, 284790.00, 284790.00, 0.05, subproblem = 1, timelimit = 630
test_instance_evrp: 2, 255550.00, 255550.00, 0.04, subproblem = 1, timelimit = 630
test_instance_evrp: 2, 266402.00, 266402.00, 0.06, subproblem = 1, timelimit = 630
test_instance_evrp: 3, 360130.00, 361833.50, 0.17, subproblem = 1, timelimit = 630
test_instance_evrp: 2, 336750.00, 336750.00, 0.32, subproblem = 1, timelimit = 630
test_instance_evrp: 3, 347904.00, 347904.00, 0.03, subproblem = 1, timelimit = 630
test_instance_evrp: 2, 264650.00, 264650.00, 0.13, subproblem = 1, timelimit = 630
test_instance_evrp: 2, 316750.00, 316750.00, 0.48, subproblem = 1, timelimit = 630
test_instance_evrp: 3, 321837.00, 321837.00, 0.03, subproblem = 1, timelimit = 630
test_instance_evrp: 3, 319429.00, 319429.00, 0.08, subproblem = 1, timelimit = 630
test_instance_evrp: 2, 309902.00, 309902.00, 0.24, subproblem = 1, timelimit = 630
test_instance_evrp: 3, 282864.00, 282864.00, 0.05, subproblem = 1, timelimit = 630
test_instance_evrp: 3, 378182.00, 378182.00, 0.06, subproblem = 1, timelimit = 630
test_instance_evrp: 2, 282520.00, 282520.00, 0.54, subproblem = 1, timelimit = 630
test_instance_evrp: 4, 430964.00, 430964.00, 0.76, subproblem = 1, timelimit = 630
test_instance_evrp: 4, 551196.00, 551196.00, 0.28, subproblem = 1, timelimit = 630
test_instance_evrp: 3, 444535.00, 444535.00, 0.83, subproblem = 1, timelimit = 630
test_instance_evrp: 4, 475811.00, 475811.00, 0.38, subproblem = 1, timelimit = 630
test_instance_evrp: 4, 460527.00, 460527.00, 0.15, subproblem = 1, timelimit = 630
test_instance_evrp: 3, 461359.00, 462346.50, 1.12, subproblem = 1, timelimit = 630
test_instance_evrp: 4, 471961.00, 474138.50, 0.12, subproblem = 1, timelimit = 630
